rating,userName,title,review,isEdited,date,developerResponse,keywords,match
2,FlawlessxSong,Glitch after glitch after glitch,Ever since the update I can barely be on the app for THREE MINUTES without it either crashing or glitching. It’s very frustrating and makes it more difficult than it already is to buy/sell clothes on the app. “My DNA” was a terrible thing to include and just allows less exposure to the shops you follow and actually WANT to see. Depop is also not responding to any complaints and makes it obvious it doesn’t care about its users.,False,2020-10-09 02:28:02,"{'id': 18528245, 'body': ""Hey there,\n\nWe can imagine how frustrating this is and we’re currently working to resolve this issue. Please get in touch by going to 'Settings - Need help - Technical issues - I've still got an issue' and send us a report leaving your username and details regarding your listings. \n \nWe’ll take it from here,\nTeam Depop\n"", 'modified': '2020-10-16T16:08:55Z'}","['ever', 'since', 'update', 'barely', 'app', 'three', 'minutes', 'without', 'either', 'crashing', 'glitching', 'frustrating', 'makes', 'difficult', 'already', 'buy/sell', 'clothes', 'app', '“', 'dna', '”', 'terrible', 'thing', 'include', 'allows', 'less', 'exposure', 'shops', 'follow', 'actually', 'want', 'see', 'depop', 'also', 'responding', 'complaints', 'makes', 'obvious', 'care', 'users']",true
1,LAURA C C <3,New Update ?,"I love this app and I've been using it for a few months now but with the recent update; the app has become annoying. When scrolling down and clicking on an item it used to keep your place when you'd click the back button. Now, you can be halfway through looking over items and it sends you back to the top which makes it harder to find items. It may seem like a small complaint but when a keyword is commonly used it makes it annoying.",False,2020-05-16 19:10:33,"{'id': 15395635, 'body': ""Hey, sorry to hear about this! The good news is we've got a fix for this bug on the way. \n \nStay tuned, \nTeam Depop"", 'modified': '2020-05-18T15:06:27Z'}","['love', 'app', ""'ve"", 'using', 'months', 'recent', 'update', 'app', 'become', 'annoying', 'scrolling', 'clicking', 'item', 'used', 'keep', 'place', ""'d"", 'click', 'back', 'button', 'halfway', 'looking', 'items', 'sends', 'back', 'top', 'makes', 'harder', 'find', 'items', 'may', 'seem', 'like', 'small', 'complaint', 'keyword', 'commonly', 'used', 'makes', 'annoying']",true
4,Smurfendipity,"Great! However, some issues","Love using it and the interactivity between the seller and buyers is great. A minor thing that bugs me however is when I am scrolling through feed and click a post, when I go back to the last page it resets my search to the top of the page, making searching very annoying",False,2020-05-18 04:11:43,"{'id': 15443365, 'body': ""Hey! The good news is we've fixed this bug, if you update to the latest version it should be resolved now.\n\nTeam Depop"", 'modified': '2020-05-20T10:54:46Z'}","['love', 'using', 'interactivity', 'seller', 'buyers', 'great', 'minor', 'thing', 'bugs', 'however', 'scrolling', 'feed', 'click', 'post', 'go', 'back', 'last', 'page', 'resets', 'search', 'top', 'page', 'making', 'searching', 'annoying']",true
2,juuliaaaajj189,Horrible customer service,"The only reason I'm giving two stars is because the majority of the depop community is filled with creative and kind users. With that said, if you ever have an issue, it will not be solved. The customer service ""helpers"" are rude and seem like they don't care about your issue at all. I love the environment of depop but every time I buy something I can't help but to feel guilty for supporting a company that seems to not care about its individual users.",False,2020-05-07 07:07:05,"{'id': 15249352, 'body': ""Hey, sorry to hear about this, if you feel you've been treated unfairly just send a reply to the original email thread, and we'll gladly take another look.\n\nWe're here for you,\nTeam Depop"", 'modified': '2020-05-11T19:23:28Z'}","['reason', ""'m"", 'giving', 'two', 'stars', 'majority', 'depop', 'community', 'filled', 'creative', 'kind', 'users', 'said', 'ever', 'issue', 'solved', 'customer', 'service', '``', 'helpers', ""''"", 'rude', 'seem', 'like', ""n't"", 'care', 'issue', 'love', 'environment', 'depop', 'every', 'time', 'buy', 'something', 'ca', ""n't"", 'help', 'feel', 'guilty', 'supporting', 'company', 'seems', 'care', 'individual', 'users']",true
5,DannaCamila,It’s a great app but...,So I had a drop account and one day I logged out and then I wanted to log back in and so u forgot my password and so k hit the forgot password thing and it wasn’t es me to enter in my email and so I did but instead of helping me it told me it couldn’t reset the password for that user,False,2020-04-28 18:36:27,"{'id': 14987868, 'body': 'Hey. Could you please try resetting your password from a laptop or PC. This provides a more secure connection, and should do the trick. Remember, you can use either your username or linked email address to login. Just make sure you’ve typed it correctly with no spaces. \n\nLet’s get you back on the app,\nTeam Depop\n', 'modified': '2020-04-29T09:13:33Z'}","['drop', 'account', 'one', 'day', 'logged', 'wanted', 'log', 'back', 'u', 'forgot', 'password', 'k', 'hit', 'forgot', 'password', 'thing', 'es', 'enter', 'email', 'instead', 'helping', 'told', 'reset', 'password', 'user']",true
1,Hzarate01,Honest review.,"I’ve given this app numerous amounts of times, within the past year. Mind you, I’ve never made an account using my email address or phone number. I’ve tried logging in through Facebook, or Apple ID and once again it says “failed to log in”. This is getting ridiculous, I tried forgot my password, and it says it cannot reset pastors for that email address. I’ve tried signing up again, and it says I already have an account. This is so annoying.",False,2020-11-27 10:48:54,"{'id': 19470675, 'body': ""Hey, we can imagine how frustrating this must be. Sounds like your phone number is already connected to an account. Refer to this article (https://depophelp.zendesk.com/hc/en-gb/articles/360001792427-My-Depop-app-isn-t-working) on our Help Centre, and submit a request for support with your phone number and email address. Once we've received your report, one of the team will be back in touch via email as soon as we can and will connect you again from scratch.\n\nWe’ve got you,\nTeam Depop"", 'modified': '2020-12-01T17:39:53Z'}","['given', 'app', 'numerous', 'amounts', 'times', 'within', 'past', 'year', 'mind', 'never', 'made', 'account', 'using', 'email', 'address', 'phone', 'number', 'tried', 'logging', 'facebook', 'apple', 'id', 'says', '“', 'failed', 'log', '”', 'getting', 'ridiculous', 'tried', 'forgot', 'password', 'says', 'reset', 'pastors', 'email', 'address', 'tried', 'signing', 'says', 'already', 'account', 'annoying']",true
3,curlyfeliciti,"I love it, sometimes...","I can’t use this app for longer than half an hour without it crashing, which is annoying when it comes to putting things up for sale. There’s also quite a few scammers on here (like everywhere) so be careful! I hope Depop fixes the crashing issue though because it’s becoming very annoying!!",False,2017-12-02 03:58:06,,"['use', 'app', 'longer', 'half', 'hour', 'without', 'crashing', 'annoying', 'comes', 'putting', 'things', 'sale', 'also', 'quite', 'scammers', 'like', 'everywhere', 'careful', 'hope', 'depop', 'fixes', 'crashing', 'issue', 'though', 'becoming', 'annoying']",true
3,Kimpurrly,5 & 1/2 /10,I'm only writing a review again because depop apparently doesn't know when people have already RATED them a MILLION TIMES. Maybe with all the updates you guys should fix that. I can't tell you how many countless times I've just been on the app and almost every time I'm on it it wants me to rate it ! It gets annoying after a while !,False,2017-11-04 16:57:28,,"[""'m"", 'writing', 'review', 'depop', 'apparently', ""n't"", 'know', 'people', 'already', 'rated', 'million', 'times', 'maybe', 'updates', 'guys', 'fix', 'ca', ""n't"", 'tell', 'many', 'countless', 'times', ""'ve"", 'app', 'almost', 'every', 'time', ""'m"", 'wants', 'rate', 'gets', 'annoying']",true
4,theshipwreckswife,Love the app but..,"Love the app but I wish Depop would allow you to post more than 4 photos!! Then it has us having to make a whole separate post for more photos! Also, the fear of getting scammed by sellers and buyers is a constant struggle!! I know that is out of Depop’s control but it’s so annoying",False,2020-05-20 07:16:30,"{'id': 15472189, 'body': ""Hey. Thanks for the feedback. We love hearing about what we can do to improve Depop for our Community. When you succeed, we succeed. We'll be passing this along to our Product Team.\n\nTeam Depop\n"", 'modified': '2020-05-21T15:23:27Z'}","['love', 'app', 'wish', 'depop', 'would', 'allow', 'post', '4', 'photos', 'us', 'make', 'whole', 'separate', 'post', 'photos', 'also', 'fear', 'getting', 'scammed', 'sellers', 'buyers', 'constant', 'struggle', 'know', 'depop', 'control', 'annoying']",true
5,3cayden2,Incredible App!,"I want there to be seeable stories like instagram, so you could talk to your all your followers in some way without having to post something that's not a product but way to interact.",False,2020-05-02 09:17:30,"{'id': 15248294, 'body': ""Hey. Thanks for the feedback. We love hearing about what we can do to improve Depop for our Community. When you succeed, we succeed. We'll be passing this along to our Product Team.\n\nTeam Depop\n"", 'modified': '2020-05-11T18:16:30Z'}","['want', 'seeable', 'stories', 'like', 'instagram', 'could', 'talk', 'followers', 'way', 'without', 'post', 'something', ""'s"", 'product', 'way', 'interact']",true
2,sophiavala,Please fix scroll bug,"I just upgraded to an iPhone 11, and every time I’m making a search and click on an item, it backs out to the top of the search listings - making me have to scroll down over and over again and I usually only end up checking out maybe the first 50 listings because it gets very annoying",False,2020-05-21 19:20:03,"{'id': 15490320, 'body': ""Hey! We've fixed this bug now, if you update to the latest version you shouldn't have this problem. \n\nTeam Depop\n"", 'modified': '2020-05-22T11:01:34Z'}","['upgraded', 'iphone', '11', 'every', 'time', 'making', 'search', 'click', 'item', 'backs', 'top', 'search', 'listings', 'making', 'scroll', 'usually', 'end', 'checking', 'maybe', 'first', '50', 'listings', 'gets', 'annoying']",true
4,Jimmybob 1812,Good but needs to be fixed,it’s a good app but PLEASE fix the notification issues. it says i have 3 notifications but i have 0 and the notif won’t go away. it makes me paranoid i’m missing something and it’s just really annoying.,False,2019-06-17 01:36:02,"{'id': 9284634, 'body': 'Hi Jimmy, we feel you and we hear you. Our team is working hard to make sure this issue is solved and our community is back on track. Thank you for the feedback.\n\nLove, Depop', 'modified': '2019-06-21T10:49:34Z'}","['good', 'app', 'please', 'fix', 'notification', 'issues', 'says', '3', 'notifications', '0', 'notif', 'go', 'away', 'makes', 'paranoid', 'missing', 'something', 'really', 'annoying']",true
1,FluttershyTexan,Annoyed,Got my first order only for it to tell me my PayPal wasn’t confirmed. Once I confirmed through PayPal Depop still left it as unconfirmed and says I have to wait 7 days before it confirms. I am not able to print the shipping label until it is confirmed so I cannot send the order. I had to ask the buyer for their address to ship it myself but I don’t know if they will answer. Just annoying.,False,2020-12-06 21:16:52,"{'id': 19697732, 'body': ""Hey. We can imagine how frustrating this is. Head in-app to 'Settings - Support - Need help - Buying - My purchase - I haven't received my item'.\nWe also moderate the app 24/7 to ensure scammers are kept away. If you notice anything suspicious, please report the item/user in-app (by clicking on the 3 dots top right of their profile/item) so we can investigate.\n\nWe're here to help,\nTeam Depop"", 'modified': '2020-12-11T12:33:48Z'}","['got', 'first', 'order', 'tell', 'paypal', 'confirmed', 'confirmed', 'paypal', 'depop', 'still', 'left', 'unconfirmed', 'says', 'wait', '7', 'days', 'confirms', 'able', 'print', 'shipping', 'label', 'confirmed', 'send', 'order', 'ask', 'buyer', 'address', 'ship', 'know', 'answer', 'annoying']",true
1,OliviaJF,The update makes me want to cry,I hate the new search layout. It’s super inefficient. I loved Depop because it was so easy to find cute things quickly because there were so many photos in the search. I literally hate the new one so much that I don’t even open the app anymore. It’s too frustrating. PLEASE make an option to go back to the smaller search layout,False,2020-10-23 16:19:39,"{'id': 18740555, 'body': ""Hey Olivia,\n\nThanks for the feedback. We love hearing about what we can do to improve Depop for our Community. When you succeed, we succeed. We'll be passing this along to our Product Team.\n\nTeam Depop"", 'modified': '2020-10-27T17:49:33Z'}","['hate', 'new', 'search', 'layout', 'super', 'inefficient', 'loved', 'depop', 'easy', 'find', 'cute', 'things', 'quickly', 'many', 'photos', 'search', 'literally', 'hate', 'new', 'one', 'much', 'even', 'open', 'app', 'anymore', 'frustrating', 'please', 'make', 'option', 'go', 'back', 'smaller', 'search', 'layout']",true
3,buba.arlene,Depop Scroll,"I’m not sure if this is recent, but i’m positive that i hadn’t noticed it before. But, when you search for an item, if you click on somebody’s listing and go back, it scrolls you all the way back up to the top. It’s honestly quite annoying",False,2020-05-17 23:19:37,"{'id': 15396232, 'body': ""Hey, sorry to hear about this! The good news is we've got a fix for this bug on the way. \n \nStay tuned, \nTeam Depop\n"", 'modified': '2020-05-18T15:38:19Z'}","['sure', 'recent', 'positive', 'noticed', 'search', 'item', 'click', 'somebody', 'listing', 'go', 'back', 'scrolls', 'way', 'back', 'top', 'honestly', 'quite', 'annoying']",true
1,Kitsunetales,Horrible customer support for buyers,This is operated like a brand new platform for buying and selling. Depop has horrible customer service. As a buyer on depop I purchased two items for them to never be delivered. When contacting depop for support there was none just referral to a link. Avoid depop try other sites like mercai or poshmark as they care more for their users. Need more customer support for users.,False,2018-05-15 19:51:51,"{'id': 3499472, 'body': ""Hey there, sorry that two of your purchases never arrived! Being our payment provider, disputes are resolved via PayPal. Nevertheless if they've ruled on something unfairly, Depop protection exists to fill in the gaps so please do let us know the outcome of these disputes. Thanks, Team Depop"", 'modified': '2018-05-17T09:48:22Z'}","['operated', 'like', 'brand', 'new', 'platform', 'buying', 'selling', 'depop', 'horrible', 'customer', 'service', 'buyer', 'depop', 'purchased', 'two', 'items', 'never', 'delivered', 'contacting', 'depop', 'support', 'none', 'referral', 'link', 'avoid', 'depop', 'try', 'sites', 'like', 'mercai', 'poshmark', 'care', 'users', 'need', 'customer', 'support', 'users']",true
2,Geordynn,"Get rid of paypal, add more diversity on explore page",This app used to be super fun when depop didn’t change their algorithm for the explore page. Only accounts with large followings are on there; they used to rotate it for diversity when the app wasn’t as popular. Now depop and big accounts are in cahoots together it’s annoying.,False,2018-03-06 19:16:30,"{'id': 2765789, 'body': ""Hey there - thanks for your feedback. Our Explore page is curated in-house according to our guidelines, but we're always on the hunt for users taking great pictures and selling great items. Here are some tips for how you could be included - https://depop.zendesk.com/hc/en-gb/articles/209921837-How-do-I-get-featured-on-the-Explore-page- . We hope this helps! Team Depop"", 'modified': '2018-03-07T10:18:24Z'}","['app', 'used', 'super', 'fun', 'depop', 'change', 'algorithm', 'explore', 'page', 'accounts', 'large', 'followings', 'used', 'rotate', 'diversity', 'app', 'popular', 'depop', 'big', 'accounts', 'cahoots', 'together', 'annoying']",true
1,deannakathryn,Drop shipping is disgraceful,"“Browse the best in vintage and secondhand fashion,” what a lie. Depop’s new policy that allows drop shipping goes against everything the app used to be about: a place to buy and sell secondhand items in a sustainable and ethical way. Now depop is supporting child labor, sweatshops, deplorable working conditions, and destroying the planet. All they care about is getting their cut from the drop shipping scammers. What a disappointment.",False,2019-05-28 04:59:05,"{'id': 8920816, 'body': 'Hi there, thanks for this feedback. We hear you and you’re right - we are all about buying and selling amazing unique things between our amazing community. We do always want buyers to have the best experience, which is why we ask Sellers for original pictures in their listings.\n\nIt looks like there’s been some confusion - We still stan for our love for sustainability and adding new stories for secondhand clothes to tell through the fashion grapevine. This is why we’re looking into how we can make our rules around ‘drop shipping’  clearer for users and want to assure you that we’ve been discussing it in detail this week to ensure we are all doing the best for our Depop community.\n\nLove, Depop ❤️', 'modified': '2019-05-29T15:20:05Z'}","['“', 'browse', 'best', 'vintage', 'secondhand', 'fashion', '”', 'lie', 'depop', 'new', 'policy', 'allows', 'drop', 'shipping', 'goes', 'everything', 'app', 'used', 'place', 'buy', 'sell', 'secondhand', 'items', 'sustainable', 'ethical', 'way', 'depop', 'supporting', 'child', 'labor', 'sweatshops', 'deplorable', 'working', 'conditions', 'destroying', 'planet', 'care', 'getting', 'cut', 'drop', 'shipping', 'scammers', 'disappointment']",true
